show_id,type,title,director,country,date_added,release_year,rating,duration,listed_in,year_added,month_added,genre
s1,Movie,Dick Johnson Is Dead,Kirsten Johnson,United States,2021-09-25,2020,PG-13,90 min,Documentaries,2021,9,Documentaries
s3,TV Show,Ganglands,Julien Leclercq,France,2021-09-24,2021,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Action & Adventure",2021,9,Crime TV Shows
s3,TV Show,Ganglands,Julien Leclercq,France,2021-09-24,2021,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Action & Adventure",2021,9,International TV Shows
s3,TV Show,Ganglands,Julien Leclercq,France,2021-09-24,2021,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Action & Adventure",2021,9,TV Action & Adventure
s6,TV Show,Midnight Mass,Mike Flanagan,United States,2021-09-24,2021,TV-MA,1 Season,"TV Dramas, TV Horror, TV Mysteries",2021,9,TV Dramas
s6,TV Show,Midnight Mass,Mike Flanagan,United States,2021-09-24,2021,TV-MA,1 Season,"TV Dramas, TV Horror, TV Mysteries",2021,9,TV Horror
s6,TV Show,Midnight Mass,Mike Flanagan,United States,2021-09-24,2021,TV-MA,1 Season,"TV Dramas, TV Horror, TV Mysteries",2021,9,TV Mysteries
s14,Movie,Confessions of an Invisible Girl,Bruno Garotti,Brazil,2021-09-22,2021,TV-PG,91 min,"Children & Family Movies, Comedies",2021,9,Children & Family Movies
s14,Movie,Confessions of an Invisible Girl,Bruno Garotti,Brazil,2021-09-22,2021,TV-PG,91 min,"Children & Family Movies, Comedies",2021,9,Comedies
s8,Movie,Sankofa,Haile Gerima,United States,2021-09-24,1993,TV-MA,125 min,"Dramas, Independent Movies, International Movies",2021,9,Dramas
s8,Movie,Sankofa,Haile Gerima,United States,2021-09-24,1993,TV-MA,125 min,"Dramas, Independent Movies, International Movies",2021,9,Independent Movies
s8,Movie,Sankofa,Haile Gerima,United States,2021-09-24,1993,TV-MA,125 min,"Dramas, Independent Movies, International Movies",2021,9,International Movies
s9,TV Show,The Great British Baking Show,Andy Devonshire,United Kingdom,2021-09-24,2021,TV-14,9 Seasons,"British TV Shows, Reality TV",2021,9,British TV Shows
s9,TV Show,The Great British Baking Show,Andy Devonshire,United Kingdom,2021-09-24,2021,TV-14,9 Seasons,"British TV Shows, Reality TV",2021,9,Reality TV
s10,Movie,The Starling,Theodore Melfi,United States,2021-09-24,2021,PG-13,104 min,"Comedies, Dramas",2021,9,Comedies
s10,Movie,The Starling,Theodore Melfi,United States,2021-09-24,2021,PG-13,104 min,"Comedies, Dramas",2021,9,Dramas
s939,Movie,Motu Patlu in the Game of Zones,Suhas Kadav,India,2021-05-01,2019,TV-Y7,87 min,"Children & Family Movies, Comedies, Music & Musicals",2021,5,Children & Family Movies
s939,Movie,Motu Patlu in the Game of Zones,Suhas Kadav,India,2021-05-01,2019,TV-Y7,87 min,"Children & Family Movies, Comedies, Music & Musicals",2021,5,Comedies
s939,Movie,Motu Patlu in the Game of Zones,Suhas Kadav,India,2021-05-01,2019,TV-Y7,87 min,"Children & Family Movies, Comedies, Music & Musicals",2021,5,Music & Musicals
s13,Movie,Je Suis Karl,Christian Schwochow,Germany,2021-09-23,2021,TV-MA,127 min,"Dramas, International Movies",2021,9,Dramas
s13,Movie,Je Suis Karl,Christian Schwochow,Germany,2021-09-23,2021,TV-MA,127 min,"Dramas, International Movies",2021,9,International Movies
s940,Movie,Motu Patlu in Wonderland,Suhas Kadav,India,2021-05-01,2013,TV-Y7,76 min,"Children & Family Movies, Music & Musicals",2021,5,Children & Family Movies
s940,Movie,Motu Patlu in Wonderland,Suhas Kadav,India,2021-05-01,2013,TV-Y7,76 min,"Children & Family Movies, Music & Musicals",2021,5,Music & Musicals
s941,Movie,Motu Patlu: Deep Sea Adventure,Suhas Kadav,India,2021-05-01,2014,TV-Y7,76 min,"Children & Family Movies, Comedies",2021,5,Children & Family Movies
s941,Movie,Motu Patlu: Deep Sea Adventure,Suhas Kadav,India,2021-05-01,2014,TV-Y7,76 min,"Children & Family Movies, Comedies",2021,5,Comedies
s942,Movie,Motu Patlu: Mission Moon,Suhas Kadav,India,2021-05-01,2013,TV-Y7,71 min,"Children & Family Movies, Comedies",2021,5,Children & Family Movies
s942,Movie,Motu Patlu: Mission Moon,Suhas Kadav,India,2021-05-01,2013,TV-Y7,71 min,"Children & Family Movies, Comedies",2021,5,Comedies
s852,Movie,99 Songs (Tamil),Not Given,Pakistan,2021-05-21,2021,TV-14,131 min,"Dramas, International Movies, Music & Musicals",2021,5,Dramas
s852,Movie,99 Songs (Tamil),Not Given,Pakistan,2021-05-21,2021,TV-14,131 min,"Dramas, International Movies, Music & Musicals",2021,5,International Movies
s852,Movie,99 Songs (Tamil),Not Given,Pakistan,2021-05-21,2021,TV-14,131 min,"Dramas, International Movies, Music & Musicals",2021,5,Music & Musicals
s471,Movie,Bridgerton - The Afterparty,"Krysia Plonka, Kristian Mercado",United States,2021-07-13,2021,TV-14,39 min,Movies,2021,7,Movies
s730,Movie,Bling Empire - The Afterparty,"Krysia Plonka, Kristian Mercado",United States,2021-06-12,2021,TV-MA,36 min,Movies,2021,6,Movies
s731,Movie,Cobra Kai - The Afterparty,"Krysia Plonka, Kristian Mercado",United States,2021-06-12,2021,TV-MA,34 min,Movies,2021,6,Movies
